Título,doi,arxiv,pmid,isbn,doi_score,arxiv_score,pmid_score,isbn_score,are_scores_different,final_score,cited_by_tweeters,cited_by_rdts,readers_count,cited_by_posts_count,cited_by_feeds_count,cited_by_accounts_count,cited_by_msm_count,cited_by_fbwalls_count,cohorts,cited_by_videos_count,cited_by_gplus_count
A note on monotonicity of spatial epidemic models,10.1214/18-BJPS406,,,,https://api.altmetric.com/v1/doi/10.1214/18-BJPS406,,,,,-1,https://api.altmetric.com/v1/doi/10.1214/18-BJPS406,https://api.altmetric.com/v1/doi/10.1214/18-BJPS406,https://api.altmetric.com/v1/doi/10.1214/18-BJPS406,https://api.altmetric.com/v1/doi/10.1214/18-BJPS406,https://api.altmetric.com/v1/doi/10.1214/18-BJPS406,https://api.altmetric.com/v1/doi/10.1214/18-BJPS406,https://api.altmetric.com/v1/doi/10.1214/18-BJPS406,,,,
A Public Database on Traumatic Brachial Plexus Injury,10.1101/399824,,,,1.25,,,,,1.25,4,https://api.altmetric.com/v1/doi/10.1101/399824,5.00,4.00,https://api.altmetric.com/v1/doi/10.1101/399824,4.00,https://api.altmetric.com/v1/doi/10.1101/399824,https://api.altmetric.com/v1/doi/10.1101/399824,4.00,https://api.altmetric.com/v1/doi/10.1101/399824,https://api.altmetric.com/v1/doi/10.1101/399824
A Review of Guidelines and Models for Representation of Provenance Information from Neuroscience Experiments,10.1007/978-3-319-40593-3_26,,,,https://api.altmetric.com/v1/doi/10.1007/978-3-319-40593-3_26,,,,,-1,https://api.altmetric.com/v1/doi/10.1007/978-3-319-40593-3_26,https://api.altmetric.com/v1/doi/10.1007/978-3-319-40593-3_26,https://api.altmetric.com/v1/doi/10.1007/978-3-319-40593-3_26,https://api.altmetric.com/v1/doi/10.1007/978-3-319-40593-3_26,https://api.altmetric.com/v1/doi/10.1007/978-3-319-40593-3_26,https://api.altmetric.com/v1/doi/10.1007/978-3-319-40593-3_26,https://api.altmetric.com/v1/doi/10.1007/978-3-319-40593-3_26,,,,
A self‐reported clinical tool predicts falls in people with Parkinson's disease,10.1002/MDC3.13170,,,,6.30,,,,,6.3,10,https://api.altmetric.com/v1/doi/10.1002/MDC3.13170,12.00,13.00,https://api.altmetric.com/v1/doi/10.1002/MDC3.13170,11.00,https://api.altmetric.com/v1/doi/10.1002/MDC3.13170,1.00,,https://api.altmetric.com/v1/doi/10.1002/MDC3.13170,https://api.altmetric.com/v1/doi/10.1002/MDC3.13170
A stochastic version of the Potjans-Diesmann cortical column model,10.3389/CONF.FNINF.2016.20.00060,,,,https://api.altmetric.com/v1/doi/10.3389/CONF.FNINF.2016.20.00060,,,,,-1,https://api.altmetric.com/v1/doi/10.3389/CONF.FNINF.2016.20.00060,https://api.altmetric.com/v1/doi/10.3389/CONF.FNINF.2016.20.00060,https://api.altmetric.com/v1/doi/10.3389/CONF.FNINF.2016.20.00060,https://api.altmetric.com/v1/doi/10.3389/CONF.FNINF.2016.20.00060,https://api.altmetric.com/v1/doi/10.3389/CONF.FNINF.2016.20.00060,https://api.altmetric.com/v1/doi/10.3389/CONF.FNINF.2016.20.00060,https://api.altmetric.com/v1/doi/10.3389/CONF.FNINF.2016.20.00060,,,,
Adequação de protocolos de exportação de um sistema de gestão de experimentos neurocientíficos às especificações de dados sem atrito,10.5585/IPTEC.V8I1.16783,,,,https://api.altmetric.com/v1/doi/10.5585/IPTEC.V8I1.16783,,,,,-1,https://api.altmetric.com/v1/doi/10.5585/IPTEC.V8I1.16783,https://api.altmetric.com/v1/doi/10.5585/IPTEC.V8I1.16783,https://api.altmetric.com/v1/doi/10.5585/IPTEC.V8I1.16783,https://api.altmetric.com/v1/doi/10.5585/IPTEC.V8I1.16783,https://api.altmetric.com/v1/doi/10.5585/IPTEC.V8I1.16783,https://api.altmetric.com/v1/doi/10.5585/IPTEC.V8I1.16783,https://api.altmetric.com/v1/doi/10.5585/IPTEC.V8I1.16783,,,,
Aplicações da teoria da informação à neurociência,10.1590/1806-9126-RBEF-2018-0197,,,,https://api.altmetric.com/v1/doi/10.1590/1806-9126-RBEF-2018-0197,,,,,-1,https://api.altmetric.com/v1/doi/10.1590/1806-9126-RBEF-2018-0197,https://api.altmetric.com/v1/doi/10.1590/1806-9126-RBEF-2018-0197,https://api.altmetric.com/v1/doi/10.1590/1806-9126-RBEF-2018-0197,https://api.altmetric.com/v1/doi/10.1590/1806-9126-RBEF-2018-0197,https://api.altmetric.com/v1/doi/10.1590/1806-9126-RBEF-2018-0197,https://api.altmetric.com/v1/doi/10.1590/1806-9126-RBEF-2018-0197,https://api.altmetric.com/v1/doi/10.1590/1806-9126-RBEF-2018-0197,,,,
As potencialidades de narrativas estruturadas para o Jornalismo Computacional: competências jornalísticas na elaboração de textos gerados com bancos de dados,10.17851/1983-3652.12.1.138-152,,,,https://api.altmetric.com/v1/doi/10.17851/1983-3652.12.1.138-152,,,,,-1,https://api.altmetric.com/v1/doi/10.17851/1983-3652.12.1.138-152,https://api.altmetric.com/v1/doi/10.17851/1983-3652.12.1.138-152,https://api.altmetric.com/v1/doi/10.17851/1983-3652.12.1.138-152,https://api.altmetric.com/v1/doi/10.17851/1983-3652.12.1.138-152,https://api.altmetric.com/v1/doi/10.17851/1983-3652.12.1.138-152,https://api.altmetric.com/v1/doi/10.17851/1983-3652.12.1.138-152,https://api.altmetric.com/v1/doi/10.17851/1983-3652.12.1.138-152,,,,
Automatic Head Tracking of The Common Marmoset,10.1101/079566V1,,,,https://api.altmetric.com/v1/doi/10.1101/079566V1,,,,,-1,https://api.altmetric.com/v1/doi/10.1101/079566V1,https://api.altmetric.com/v1/doi/10.1101/079566V1,https://api.altmetric.com/v1/doi/10.1101/079566V1,https://api.altmetric.com/v1/doi/10.1101/079566V1,https://api.altmetric.com/v1/doi/10.1101/079566V1,https://api.altmetric.com/v1/doi/10.1101/079566V1,https://api.altmetric.com/v1/doi/10.1101/079566V1,,,,
Avaliação do aprendizado de sequências determinísticas e probabilísticas na doença de Parkinson,10.11606/D.47.2020.TDE-03082020-122150,,,,https://api.altmetric.com/v1/doi/10.11606/D.47.2020.TDE-03082020-122150,,,,,-1,https://api.altmetric.com/v1/doi/10.11606/D.47.2020.TDE-03082020-122150,https://api.altmetric.com/v1/doi/10.11606/D.47.2020.TDE-03082020-122150,https://api.altmetric.com/v1/doi/10.11606/D.47.2020.TDE-03082020-122150,https://api.altmetric.com/v1/doi/10.11606/D.47.2020.TDE-03082020-122150,https://api.altmetric.com/v1/doi/10.11606/D.47.2020.TDE-03082020-122150,https://api.altmetric.com/v1/doi/10.11606/D.47.2020.TDE-03082020-122150,https://api.altmetric.com/v1/doi/10.11606/D.47.2020.TDE-03082020-122150,,,,
